Date,Open,High,Low,Close,Adj Close,Volume
2010/7/13,,,,,1323.5,
2010/8/13,,,,,1329.5,
2010/9/13,,,,,1304,
2010/10/13,,,,,1298.5,
2010/11/13,,,,,1265.5,
10/14/13,,,,,1285.5,
10/15/13,,,,,1270.5,
10/16/13,,,,,1273.5,
10/17/13,,,,,1319.3,
10/18/13,,,,,1316.5,
10/21/13,,,,,1317.5,
10/22/13,,,,,1333,
10/23/13,,,,,1331.3,
10/24/13,,,,,1344.8,
10/25/13,,,,,1347.8,
10/28/13,,,,,1361,
10/29/13,,,,,1349.3,
10/30/13,,,,,1354.8,
10/31/13,,,,,1324,
2011/1/13,,,,,1306.8,
2011/4/13,,,,,1320.5,
2011/5/13,,,,,1307.3,
2011/6/13,,,,,1319,
2011/7/13,,,,,1307.3,
2011/8/13,,,,,1285.5,
2011/11/13,,,,,1282.5,
2011/12/13,,,,,1281.3,
11/13/13,,,,,1272.5,
11/14/13,,,,,1286,
11/15/13,,,,,1287.3,
11/18/13,,,,,1283.5,
11/19/13,,,,,1275.8,
11/20/13,,,,,1257,
11/21/13,,,,,1240,
11/22/13,,,,,1246.3,
11/25/13,,,,,1243,
11/26/13,,,,,1247.5,
11/27/13,,,,,1245,
11/28/13,,,,,1245.5,
11/29/13,,,,,1253,
2012/2/13,,,,,1229.5,
2012/3/13,,,,,1217.3,
2012/4/13,,,,,1227.5,
2012/5/13,,,,,1222.5,
2012/6/13,,,,,1233,
2012/9/13,,,,,1237,
2012/10/13,,,,,1266.3,
2012/11/13,,,,,1260.8,
2012/12/13,,,,,1225.3,
12/13/13,,,,,1232,
12/16/13,,,,,1234.8,
12/17/13,,,,,1231.8,
12/18/13,,,,,1230.5,
12/19/13,,,,,1196,
12/20/13,,,,,1195.3,
12/23/13,,,,,1199,
12/24/13,,,,,1199,
12/25/13,,,,,1199,
12/26/13,,,,,1199,
12/27/13,,,,,1214.5,
12/30/13,,,,,1204.5,
12/31/13,,,,,1204.5,
2001/1/14,,,,,1204.5,
2001/2/14,,,,,1225,
2001/3/14,,,,,1234.5,
2001/6/14,,,,,1246.3,
2001/7/14,,,,,1227.5,
2001/8/14,,,,,1221,
2001/9/14,,,,,1226,
2001/10/14,,,,,1244.3,
1/13/14,,,,,1248,
1/14/14,,,,,1251.5,
1/15/14,,,,,1236,
1/16/14,,,,,1241.5,
1/17/14,,,,,1250,
1/20/14,,,,,1255.8,
1/21/14,,,,,1238,
1/22/14,,,,,1241,
1/23/14,,,,,1263,
1/24/14,,,,,1267,
1/27/14,,,,,1260.5,
1/28/14,,,,,1251.3,
1/29/14,,,,,1264,
1/30/14,,,,,1242.5,
1/31/14,,,,,1251,
2002/3/14,,,,,1262,
2002/4/14,,,,,1250.3,
2002/5/14,,,,,1254.5,
2002/6/14,,,,,1256.5,
2002/7/14,,,,,1259.3,
2002/10/14,,,,,1277,
2002/11/14,,,,,1282,
2002/12/14,,,,,1289.5,
2/13/14,,,,,1296,
2/14/14,,,,,1320,
2/17/14,,,,,1327.5,
2/18/14,,,,,1320.8,
2/19/14,,,,,1320.5,
2/20/14,,,,,1316.3,
2/21/14,,,,,1323.3,
2/24/14,,,,,1334.8,
2/25/14,,,,,1339,
2/26/14,,,,,1331.8,
2/27/14,,,,,1332.3,
2/28/14,,,,,1326.5,
2003/3/14,,,,,1349.5,
2003/4/14,,,,,1334.8,
2003/5/14,,,,,1337,
2003/6/14,,,,,1345.3,
2003/7/14,,,,,1335.3,
2003/10/14,,,,,1344,
2003/11/14,,,,,1346.3,
2003/12/14,,,,,1366,
3/13/14,,,,,1368.8,
3/14/14,,,,,1385,
3/17/14,,,,,1378.5,
3/18/14,,,,,1355.8,
3/19/14,,,,,1338,
3/20/14,,,,,1327,
3/21/14,,,,,1336,
3/24/14,,,,,1310.8,
3/25/14,,,,,1313.5,
3/26/14,,,,,1304,
3/27/14,,,,,1296,
3/28/14,,,,,1294.8,
3/31/14,,,,,1291.8,
2004/1/14,,,,,1283.8,
2004/2/14,,,,,1292,
2004/3/14,,,,,1284,
2004/4/14,,,,,1297.3,
2004/7/14,,,,,1299,
2004/8/14,,,,,1309.5,
2004/9/14,,,,,1301.8,
2004/10/14,,,,,1320.5,
2004/11/14,,,,,1318,
4/14/14,,,,,1325.8,
4/15/14,,,,,1298,
4/16/14,,,,,1301.5,
4/17/14,,,,,1299,
4/18/14,,,,,1299,
4/21/14,,,,,1299,
4/22/14,,,,,1286.8,
4/23/14,,,,,1285.3,
4/24/14,,,,,1291.5,
4/25/14,,,,,1301.3,
4/28/14,,,,,1299,
4/29/14,,,,,1297.8,
4/30/14,,,,,1288.5,
2005/1/14,,,,,1278.5,
2005/2/14,,,,,1281.3,
2005/5/14,,,,,1281.3,
2005/6/14,,,,,1306.3,
2005/7/14,,,,,1296,
2005/8/14,,,,,1287,
2005/9/14,,,,,1291.3,
2005/12/14,,,,,1298.8,
5/13/14,,,,,1296.5,
5/14/14,,,,,1305.3,
5/15/14,,,,,1299,
5/16/14,,,,,1291.5,
5/19/14,,,,,1302,
5/20/14,,,,,1295.5,
5/21/14,,,,,1287.3,
5/22/14,,,,,1298.5,
5/23/14,,,,,1291.5,
5/26/14,,,,,1291.5,
5/27/14,,,,,1275.5,
5/28/14,,,,,1263.5,
5/29/14,,,,,1255,
5/30/14,,,,,1250.5,
2006/2/14,,,,,1247.3,
2006/3/14,,,,,1242.8,
2006/4/14,,,,,1245.3,
2006/5/14,,,,,1252.5,
2006/6/14,,,,,1247.5,
2006/9/14,,,,,1253.5,
2006/10/14,,,,,1259.5,
2006/11/14,,,,,1262,
2006/12/14,,,,,1265.8,
6/13/14,,,,,1273,
6/16/14,,,,,1276.3,
6/17/14,,,,,1267.5,
6/18/14,,,,,1269.8,
6/19/14,,,,,1293,
6/20/14,,,,,1312.5,
6/23/14,,,,,1313.5,
6/24/14,,,,,1318.5,
6/25/14,,,,,1316.8,
6/26/14,,,,,1311.8,
6/27/14,,,,,1317.5,
6/30/14,,,,,1315,
2007/1/14,,,,,1327.5,
2007/2/14,,,,,1326.5,
2007/3/14,,,,,1317.5,
2007/4/14,,,,,1319.3,
2007/7/14,,,,,1313,
2007/8/14,,,,,1323,
2007/9/14,,,,,1322.8,
2007/10/14,,,,,1340.3,
2007/11/14,,,,,1335,
7/14/14,,,,,1306,
7/15/14,,,,,1310,
7/16/14,,,,,1301,
7/17/14,,,,,1302.5,
7/18/14,,,,,1307.3,
7/21/14,,,,,1311.5,
7/22/14,,,,,1310.3,
7/23/14,,,,,1308,
7/24/14,,,,,1292.8,
7/25/14,,,,,1294.8,
7/28/14,,,,,1304.5,
7/29/14,,,,,1299.3,
7/30/14,,,,,1294.5,
7/31/14,,,,,1285.3,
2008/1/14,,,,,1291.3,
2008/4/14,,,,,1290.5,
2008/5/14,,,,,1284.8,
2008/6/14,,,,,1306.5,
2008/7/14,,,,,1305.3,
2008/8/14,,,,,1309.8,
2008/11/14,,,,,1307.3,
2008/12/14,,,,,1315.8,
8/13/14,,,,,1312,
8/14/14,,,,,1313.5,
8/15/14,,,,,1296,
8/18/14,,,,,1296.8,
8/19/14,,,,,1296.5,
8/20/14,,,,,1295,
8/21/14,,,,,1275.3,
8/22/14,,,,,1277.3,
8/25/14,,,,,1277.3,
8/26/14,,,,,1286,
8/27/14,,,,,1282.8,
8/28/14,,,,,1292,
8/29/14,,,,,1285.8,
2009/1/14,,,,,1286.5,
2009/2/14,,,,,1267,
2009/3/14,,,,,1265.5,
2009/4/14,,,,,1271.5,
2009/5/14,,,,,1266,
2009/8/14,,,,,1259,
2009/9/14,,,,,1255.8,
2009/10/14,,,,,1251,
2009/11/14,,,,,1241.3,
2009/12/14,,,,,1231.5,
9/15/14,,,,,1234.3,
9/16/14,,,,,1232.3,
9/17/14,,,,,1236,
9/18/14,,,,,1220.5,
9/19/14,,,,,1219.8,
9/22/14,,,,,1213.5,
9/23/14,,,,,1222,
9/24/14,,,,,1217.3,
9/25/14,,,,,1213.8,
9/26/14,,,,,1213.8,
9/29/14,,,,,1219.5,
9/30/14,,,,,1216.5,
2010/1/14,,,,,1216.5,
2010/2/14,,,,,1211.8,
2010/3/14,,,,,1195,
2010/6/14,,,,,1195.8,
2010/7/14,,,,,1210.5,
2010/8/14,,,,,1217,
2010/9/14,,,,,1226.8,
2010/10/14,,,,,1219,
10/13/14,,,,,1229,
10/14/14,,,,,1234.8,
10/15/14,,,,,1237.5,
10/16/14,,,,,1237.8,
10/17/14,,,,,1234.3,
10/20/14,,,,,1244.5,
10/21/14,,,,,1250.3,
10/22/14,,,,,1243.8,
10/23/14,,,,,1232.8,
10/24/14,,,,,1232.8,
10/27/14,,,,,1228.8,
10/28/14,,,,,1229.3,
10/29/14,,,,,1223.5,
10/30/14,,,,,1202,
10/31/14,,,,,1164.3,
2011/3/14,,,,,1167.8,
2011/4/14,,,,,1166.5,
2011/5/14,,,,,1142,
2011/6/14,,,,,1145,
2011/7/14,,,,,1154.5,
2011/10/14,,,,,1162,
2011/11/14,,,,,1156.5,
2011/12/14,,,,,1164.5,
11/13/14,,,,,1161.8,
11/14/14,,,,,1169,
11/17/14,,,,,1182.5,
11/18/14,,,,,1192.8,
11/19/14,,,,,1196,
11/20/14,,,,,1190,
11/21/14,,,,,1203.8,
11/24/14,,,,,1197.5,
11/25/14,,,,,1199,
11/26/14,,,,,1197.5,
11/27/14,,,,,1194.8,
